,year,segment_month,segment_number,smiles,inchi,validated by Unichem,,,,,,
0,2022,January,1,C1=CC2=C(C=C1)OC(=C2)C(=O)N[C@@H]3C4CCN(CC4)[C@H]3CC5=CC=CN=C5,"InChI=1S/C22H23N3O2/c26-22(20-13-17-5-1-2-6-19(17)27-20)24-21-16-7-10-25(11-8-16)18(21)12-15-4-3-9-23-14-15/h1-6,9,13-14,16,18,21H,7-8,10-12H2,(H,24,26)/t18-,21+/m0/s1",True,,,,,,
1,2022,January,2,C[C@@H]([C@@H](C1=CC=C(C=C1)C2CC2)OC3=CC=C(C=C3)C(=O)O[C@H]4CCCN(C4)C(=O)[C@@H]5CC(=O)OC5)NC(=O)[C@H]6CCCO6,"InChI=1S/C34H40N2O8/c1-21(35-32(38)29-5-3-17-41-29)31(24-10-8-23(9-11-24)22-6-7-22)43-27-14-12-25(13-15-27)34(40)44-28-4-2-16-36(19-28)33(39)26-18-30(37)42-20-26/h8-15,21-22,26,28-29,31H,2-7,16-20H2,1H3,(H,35,38)/t21-,26+,28-,29+,31-/m0/s1",True,,,,INVALID SMILES RATE:,,1.7%
2,2022,January,3,CC[C@@H](C(=O)NC1=CC(=C(C#C1)C(=O)N)F)N2C=C(C(=CC2=O)C3=C(C=CC(=C3)Cl)N4C=C(C(F)(F)F)N=N4)OC,"InChI=1S/C26H19ClF4N6O4/c1-3-19(25(40)33-14-5-6-15(24(32)39)18(28)9-14)36-11-21(41-2)17(10-23(36)38)16-8-13(27)4-7-20(16)37-12-22(34-35-37)26(29,30)31/h4,7-12,19H,3H2,1-2H3,(H2,32,39)(H,33,40)/t19-/m0/s1",False,,,,INCHI NOT IN UNICHEM RATE:,,23.3%
3,2022,January,4,C1[C@@]2([2H])[C@H]([C@H]([C@]([2H])(N3C=NC4=C3N=CN=C4N)O2)OP(=O)(OC[C@@]5([2H])[C@H]([C@H]([C@]([2H])(N6C=NC7=C6N=CN=C7N)O5)O)OP(=O)(O1)S)S)O,"InChI=1S/C20H24N10O10P2S2/c21-15-9-17(25-3-23-15)29(5-27-9)19-12(32)13-8(38-19)2-36-42(34,44)40-14-11(31)7(1-35-41(33,43)39-13)37-20(14)30-6-28-10-16(22)24-4-26-18(10)30/h3-8,11-14,19-20,31-32H,1-2H2,(H,33,43)(H,34,44)(H2,21,23,25)(H2,22,24,26)/t7-,8-,11+,12+,13+,14+,19+,20+,41?,42?/m0/s1/i7D,8D,19D,20D",False,,,,EXTRACTED/EXPECTED RATE:,,76.7%
4,2022,January,5,CN1C(=C(C=N1)C2=CC3=C(C=C2)C(=O)NN=C3CN)C4=C(C#N)C(=CC(=C4F)Cl)OC5CC5,"InChI=1S/C23H18ClFN6O2/c1-31-22(20-15(8-26)19(33-12-3-4-12)7-17(24)21(20)25)16(10-28-31)11-2-5-13-14(6-11)18(9-27)29-30-23(13)32/h2,5-7,10,12H,3-4,9,27H2,1H3,(H,30,32)",True,,,,,,
5,2022,January,6,CC1=CN2C(=C(C=N2)C3=CC=C(C=C3F)C(=O)N([C@@H]4CCCNC4)C5=C(C)C=CC=N5)N=C1,"InChI=1S/C25H25FN6O/c1-16-12-29-24-21(14-30-31(24)15-16)20-8-7-18(11-22(20)26)25(33)32(19-6-4-9-27-13-19)23-17(2)5-3-10-28-23/h3,5,7-8,10-12,14-15,19,27H,4,6,9,13H2,1-2H3/t19-/m1/s1",False,,,,,,
6,2022,January,7,C=C(C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@@](CC6)(CF)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12)NCCN7CCS(=O)(=O)CC7,"InChI=1S/C43H67FN2O4S/c1-29(2)31-12-19-43(45-22-23-46-24-26-51(49,50)27-25-46)21-20-40(6)33(36(31)43)8-9-35-39(5)15-13-32(38(3,4)34(39)14-16-41(35,40)7)30-10-17-42(28-44,18-11-30)37(47)48/h10,13,31,33-36,45H,1,8-9,11-12,14-28H2,2-7H3,(H,47,48)/t31-,33+,34-,35+,36+,39-,40+,41+,42+,43-/m0/s1",True,,,,,,
7,2022,January,8,CN1C=C2C=C(C(=CC2=N1)Cl)N=C3NC(=O)N(CC4=NN(C)C=N4)C(=O)N3CC5=C(C=C(C(=C5)F)F)F,"InChI=1S/C22H17ClF3N9O2/c1-32-7-12-4-18(13(23)5-17(12)30-32)28-20-29-21(36)35(9-19-27-10-33(2)31-19)22(37)34(20)8-11-3-15(25)16(26)6-14(11)24/h3-7,10H,8-9H2,1-2H3,(H,28,29,36)",True,,,,,,
8,2022,January,9,CC1(C)CCC2=C(C1)SC(=C2C(=O)N/N=C/C3=CC=C(C(=C3)C(F)(F)F)Cl)NC(=O)C4=CC=CC(=C4)COCCOCCN(CCOC)CC(=O)O,"InChI=1S/C36H42ClF3N4O7S/c1-35(2)10-9-26-29(19-35)52-34(31(26)33(48)43-41-20-23-7-8-28(37)27(18-23)36(38,39)40)42-32(47)25-6-4-5-24(17-25)22-51-16-15-50-14-12-44(11-13-49-3)21-30(45)46/h4-8,17-18,20H,9-16,19,21-22H2,1-3H3,(H,42,47)(H,43,48)(H,45,46)/b41-20+",False,,,,,,
9,2022,January,10,CC1=CC(=CC=C1CN2CCN[C@@H](C)C2)N(C)C(=O)C3CCC(CC3)OC4=CC=CC(=C4)CO.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,"InChI=1S/C28H39N3O3.C4H6O6/c1-20-15-25(10-7-24(20)18-31-14-13-29-21(2)17-31)30(3)28(33)23-8-11-26(12-9-23)34-27-6-4-5-22(16-27)19-32;5-1(3(7)8)2(6)4(9)10/h4-7,10,15-16,21,23,26,29,32H,8-9,11-14,17-19H2,1-3H3;1-2,5-6H,(H,7,8)(H,9,10)/t21-,23?,26?;1-,2-/m01/s1",False,,,,,,
10,2022,February,1,CC(C)(C1=CC=C(C=C1)NC(=O)C2=CC=NN(C3=C(C=CC=C3)OCC(F)(F)F)C2=O)O,"InChI=1S/C22H20F3N3O4/c1-21(2,31)14-7-9-15(10-8-14)27-19(29)16-11-12-26-28(20(16)30)17-5-3-4-6-18(17)32-13-22(23,24)25/h3-12,31H,13H2,1-2H3,(H,27,29)",True,,,,,,
11,2022,February,2,CCOP(=O)(CN1C=CC(=N1)NC(=O)C2=CC(=CC(=C2)OC3=CN=C(C=N3)C(=O)N4CCC4)OC(C)C)OCC,"InChI=1S/C26H33N6O7P/c1-5-36-40(35,37-6-2)17-32-11-8-23(30-32)29-25(33)19-12-20(38-18(3)4)14-21(13-19)39-24-16-27-22(15-28-24)26(34)31-9-7-10-31/h8,11-16,18H,5-7,9-10,17H2,1-4H3,(H,29,30,33)",True,,,,,,
12,2022,February,3,CC(C)[C@@H]1[C@H]2C3=C(C=CC=C3)C[C@@H](C(=O)N1)N2CC(=O)C4=NN5C(=NN=C5C(=C4)NC6CCN(CC6)CC(C)(C)F)C,"InChI=1S/C31H41FN8O2/c1-18(2)27-28-22-9-7-6-8-20(22)14-25(30(42)34-27)39(28)16-26(41)23-15-24(29-36-35-19(3)40(29)37-23)33-21-10-12-38(13-11-21)17-31(4,5)32/h6-9,15,18,21,25,27-28,33H,10-14,16-17H2,1-5H3,(H,34,42)/t25-,27+,28+/m0/s1",False,,,,,,
13,2022,February,4,COC(=O)N1CCC[C@@H]([C@@H]1CO[C@H]2CC[C@H](CC2)C3=CC=CC=C3)NS(=O)(=O)C,"InChI=1S/C21H32N2O5S/c1-27-21(24)23-14-6-9-19(22-29(2,25)26)20(23)15-28-18-12-10-17(11-13-18)16-7-4-3-5-8-16/h3-5,7-8,17-20,22H,6,9-15H2,1-2H3/t17-,18+,19-,20-/m0/s1",True,,,,,,
14,2022,February,5,CC1=NC2=C(C3=C(C=C(C(=C3)C4=CC=C(C=C4Cl)OC5=NC=CC=N5)F)N=C2)N1[C@H]6CCN(C[C@@H]6F)C(=O)CO,"InChI=1S/C28H23ClF2N6O3/c1-15-35-24-12-34-23-11-21(30)18(17-4-3-16(9-20(17)29)40-28-32-6-2-7-33-28)10-19(23)27(24)37(15)25-5-8-36(13-22(25)31)26(39)14-38/h2-4,6-7,9-12,22,25,38H,5,8,13-14H2,1H3/t22-,25-/m0/s1",True,,,,,,
15,2022,February,6,C1=C(C=CC(=C1)C2CC2)CC3=C(C4=C(CCO4)C(=C3)[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)Cl,"InChI=1S/C24H27ClO6/c25-19-15(9-12-1-3-13(4-2-12)14-5-6-14)10-17(16-7-8-30-23(16)19)24-22(29)21(28)20(27)18(11-26)31-24/h1-4,10,14,18,20-22,24,26-29H,5-9,11H2/t18-,20-,21+,22-,24+/m1/s1",True,,,,,,
16,2022,February,7,CC1=CC(=C(C=C1)C2=NC(=O)ON2)C3=CC=C(C=C3)[C@@H](C)N(CC4CC4)C5=NC(=C(C6CC6)S5)C(=O)NS(=O)(=O)C7CC7,"InChI=1S/C31H33N5O5S2/c1-17-3-14-24(28-33-31(38)41-34-28)25(15-17)21-8-6-20(7-9-21)18(2)36(16-19-4-5-19)30-32-26(27(42-30)22-10-11-22)29(37)35-43(39,40)23-12-13-23/h3,6-9,14-15,18-19,22-23H,4-5,10-13,16H2,1-2H3,(H,35,37)(H,33,34,38)/t18-/m1/s1",True,,,,,,
17,2022,February,8,C[C@H]1C2=C(C[C@H](CO)N1C(=O)CC3=C(C=CC=C3Cl)Cl)C(=CC=C2)C4=CN(C)N=C4,"InChI=1S/C23H23Cl2N3O2/c1-14-17-5-3-6-18(15-11-26-27(2)12-15)19(17)9-16(13-29)28(14)23(30)10-20-21(24)7-4-8-22(20)25/h3-8,11-12,14,16,29H,9-10,13H2,1-2H3/t14-,16+/m0/s1",True,,,,,,
18,2022,February,9,CC1=CC2=NC=NN2C=C1NC3=NC4=C(C=N3)N(C)C(=O)N4C5CCOCC5,"InChI=1S/C18H20N8O2/c1-11-7-15-20-10-21-25(15)9-13(11)22-17-19-8-14-16(23-17)26(18(27)24(14)2)12-3-5-28-6-4-12/h7-10,12H,3-6H2,1-2H3,(H,19,22,23)",True,,,,,,
19,2022,February,10,COC1=C(C(=C(C(=C1)OC)F)COC2=CN=C(N=C2)NC3=CN(CCO)N=C3)F,"InChI=1S/C18H19F2N5O4/c1-27-14-5-15(28-2)17(20)13(16(14)19)10-29-12-7-21-18(22-8-12)24-11-6-23-25(9-11)3-4-26/h5-9,26H,3-4,10H2,1-2H3,(H,21,22,24)",True,,,,,,
20,2022,March,1,CC1=NC=CC=C1C2=CN=C(NCC3=C4CCOC4=CC=C3F)N5C=NN=C25,"InChI=1S/C20H17FN6O/c1-12-13(3-2-7-22-12)16-10-24-20(27-11-25-26-19(16)27)23-9-15-14-6-8-28-18(14)5-4-17(15)21/h2-5,7,10-11H,6,8-9H2,1H3,(H,23,24)",True,,,,,,
21,2022,March,2,C1=CC=C(C=C1)OC2=CC3=C(C=C2)C(=NN(CC4=CC=C(C(=C4)Cl)Cl)C3=O)C(=O)O,"InChI=1S/C22H14Cl2N2O4/c23-18-9-6-13(10-19(18)24)12-26-21(27)17-11-15(30-14-4-2-1-3-5-14)7-8-16(17)20(25-26)22(28)29/h1-11H,12H2,(H,28,29)",True,,,,,,
22,2022,March,3,C[C@@H](C1=CC=C(C=C1)C[C@H]2CCC[C@@H]2O)C(=O)O,"InChI=1S/C15H20O3/c1-10(15(17)18)12-7-5-11(6-8-12)9-13-3-2-4-14(13)16/h5-8,10,13-14,16H,2-4,9H2,1H3,(H,17,18)/t10-,13+,14-/m0/s1",True,,,,,,
23,2022,March,4,CC(C)C[C@@](C)(COC1=CC=C(C2=CC=NC(=C2)C(F)F)N=C1C(F)F)N,"InChI=1S/C19H23F4N3O/c1-11(2)9-19(3,24)10-27-15-5-4-13(26-16(15)18(22)23)12-6-7-25-14(8-12)17(20)21/h4-8,11,17-18H,9-10,24H2,1-3H3/t19-/m0/s1",True,,,,,,
24,2022,March,5,CC(C)C1=CC=C(C2=CN=C3N2N=C(N4CCC(CC4)(CN)O)S3)C(=N1)OC,"InChI=1S/C19H26N6O2S/c1-12(2)14-5-4-13(16(22-14)27-3)15-10-21-17-25(15)23-18(28-17)24-8-6-19(26,11-20)7-9-24/h4-5,10,12,26H,6-9,11,20H2,1-3H3",True,,,,,,
25,2022,March,6,CC(C)(C=C(C#N)C(=O)N1CCC[C@H](C1)N2C3=C(C(=N2)C4=C(C=C(C=C4)OC5=CC=CC=C5)F)C(=NC=N3)N)N6CCN(CC6)C7COC7,"InChI=1S/C36H40FN9O3/c1-36(2,45-15-13-43(14-16-45)26-21-48-22-26)18-24(19-38)35(47)44-12-6-7-25(20-44)46-34-31(33(39)40-23-41-34)32(42-46)29-11-10-28(17-30(29)37)49-27-8-4-3-5-9-27/h3-5,8-11,17-18,23,25-26H,6-7,12-16,20-22H2,1-2H3,(H2,39,40,41)/t25-/m1/s1",True,,,,,,
26,2022,March,7,CC(C)(C)NS(=O)(=O)C1=CC(=CC=C1)NC(=O)C2=CC=C(C=C2N3CCC4(CC4)CC3)NS(=O)(=O)C5(C)CC5,"InChI=1S/C28H38N4O5S2/c1-26(2,3)31-38(34,35)22-7-5-6-20(18-22)29-25(33)23-9-8-21(30-39(36,37)27(4)10-11-27)19-24(23)32-16-14-28(12-13-28)15-17-32/h5-9,18-19,30-31H,10-17H2,1-4H3,(H,29,33)",True,,,,,,
27,2022,March,8,C1=CC=C(C=C1)[C@@H](CO)C(=O)N2CC3=C(C2)CN(C3)S(=O)(=O)C4=CC5=C(N=C4)OCCO5,"InChI=1S/C22H23N3O6S/c26-14-19(15-4-2-1-3-5-15)22(27)24-10-16-12-25(13-17(16)11-24)32(28,29)18-8-20-21(23-9-18)31-7-6-30-20/h1-5,8-9,19,26H,6-7,10-14H2/t19-/m1/s1",True,,,,,,
28,2022,March,9,CC1(C)CC(CC(C)(C)N1)OC2=CC=C(C3=C(C=C(C=C3)C4=CNN=C4)O)N=N2,"InChI=1S/C22H27N5O2/c1-21(2)10-16(11-22(3,4)27-21)29-20-8-7-18(25-26-20)17-6-5-14(9-19(17)28)15-12-23-24-13-15/h5-9,12-13,16,27-28H,10-11H2,1-4H3,(H,23,24)",True,,,,,,
29,2022,March,10,C1[C@@H]2[C@H]([C@H]([C@H](N3C=NC4=C3N=CNC4=O)O2)O[P@](=O)(OC[C@@H]5[C@H]([C@H]([C@H](N6C=NC7=C6N=C(N)NC7=O)O5)O[P@](=O)(O1)S)F)S)F,"InChI=1S/C20H21F2N9O10P2S2/c21-8-6-1-36-43(35,45)41-13-9(22)7(39-19(13)31-5-27-11-15(31)28-20(23)29-17(11)33)2-37-42(34,44)40-12(8)18(38-6)30-4-26-10-14(30)24-3-25-16(10)32/h3-9,12-13,18-19H,1-2H2,(H,34,44)(H,35,45)(H,24,25,32)(H3,23,28,29,33)/t6-,7-,8-,9-,12-,13-,18-,19-,42+,43+/m1/s1",False,,,,,,
30,2022,April,1,CN1CCC(CC1)C2=CC=C(C=C2)C3=CC4=C(C=C3)CN(C(C5=CC(=CC=C5O)F)C(=O)NC6=NC=CS6)C4=O,"InChI=1S/C31H29FN4O3S/c1-35-13-10-21(11-14-35)19-2-4-20(5-3-19)22-6-7-23-18-36(30(39)25(23)16-22)28(26-17-24(32)8-9-27(26)37)29(38)34-31-33-12-15-40-31/h2-9,12,15-17,21,28,37H,10-11,13-14,18H2,1H3,(H,33,34,38)",True,,,,,,
31,2022,April,2,C=CC(=O)N1CC2(CC(C2)N3C(=C(C4=C(C(=CC5=C4C=NN5)C)Cl)C(=N3)C6=CC7=C(C=C6)N(C)N=C7)C)C1,"InChI=1S/C29H28ClN7O/c1-5-24(38)36-14-29(15-36)10-20(11-29)37-17(3)25(26-21-13-31-33-22(21)8-16(2)27(26)30)28(34-37)18-6-7-23-19(9-18)12-32-35(23)4/h5-9,12-13,20H,1,10-11,14-15H2,2-4H3,(H,31,33)",True,,,,,,
32,2022,April,3,C=CC(=O)N1C[C@@H]2CCOC3=C(C(=C(C4=C3C(=NC=N4)N2C[C@H]1C)F)C5=C(C=CC=C5O)F)Cl,"InChI=1S/C24H21ClF2N4O3/c1-3-16(33)30-10-13-7-8-34-23-19-22(28-11-29-24(19)31(13)9-12(30)2)21(27)18(20(23)25)17-14(26)5-4-6-15(17)32/h3-6,11-13,32H,1,7-10H2,2H3/t12-,13+/m1/s1",True,,,,,,
33,2022,April,4,CCN1C=C(C2=C3CCN([C@@H](C4CC4)C5=CC(=CC=N5)C)C(=O)C3=CC(=C2)CN6C=CN=C6)C(=N1)C(F)(F)F,"InChI=1S/C29H29F3N6O/c1-3-37-16-24(27(35-37)29(30,31)32)22-13-19(15-36-11-9-33-17-36)14-23-21(22)7-10-38(28(23)39)26(20-4-5-20)25-12-18(2)6-8-34-25/h6,8-9,11-14,16-17,20,26H,3-5,7,10,15H2,1-2H3/t26-/m0/s1",True,,,,,,
34,2022,April,5,C1=CC(=NC2=C1C=C(C=C2)OC3=NC=C(C=C3Cl)C(F)(F)F)C(=O)N4CC[C@H](C4)F,"InChI=1S/C20H14ClF4N3O2/c21-15-8-12(20(23,24)25)9-26-18(15)30-14-2-4-16-11(7-14)1-3-17(27-16)19(29)28-6-5-13(22)10-28/h1-4,7-9,13H,5-6,10H2/t13-/m1/s1",False,,,,,,
35,2022,April,6,CN1C(=O)C2=C(NC3=CC=CC=C3)N(CC4=CC=C(C=C4)C5=NC(=CC=C5)F)N=C2N6[C@H]7CCC[C@H]7N=C16,"InChI=1S/C29H26FN7O/c1-35-28(38)25-26(31-20-7-3-2-4-8-20)36(34-27(25)37-23-11-5-10-22(23)33-29(35)37)17-18-13-15-19(16-14-18)21-9-6-12-24(30)32-21/h2-4,6-9,12-16,22-23,31H,5,10-11,17H2,1H3/t22-,23+/m1/s1",True,,,,,,
36,2022,April,7,CC1(C)C2=C(C=C(C=C2)C(=O)NCC3=C(C=C(C=C3F)F)F)N(CC4=C(C=CC=C4Cl)F)C1=O,"InChI=1S/C25H19ClF4N2O2/c1-25(2)17-7-6-13(23(33)31-11-15-20(29)9-14(27)10-21(15)30)8-22(17)32(24(25)34)12-16-18(26)4-3-5-19(16)28/h3-10H,11-12H2,1-2H3,(H,31,33)",True,,,,,,
